Date,Type,Details,Fatality
Jun-80,F-16A Block 5," 	
	
The aircraft was lost in a yellow flag exercise caused by fuel starvation. The pilot bailed out at approximately 300 ft when a flame-out approach to a dirt road didn't turn out to be the best solution.",0
Jun-84,F-16A Block 5," 	
	
Crashed at the airport in Bartow, Florida. Pilot ejected safely.",0
Oct-86,F-16A Block 5," 	
	
Crashed while flying a mission from CAF Cold Lake. The crash was caused by an engine flame-out. The pilot ejected safely.",0
Aug-79,F-16B Block 1,"F-16 write-off number one. The aircraft was written off in a crash while on approach to Hill AFB, Utah. The pilot at the controls was a Belgian pilot on the OT&E team. The pilot had refueled and forgot to close the aerial refueling door. Therefore, he could not get gas from his external tanks, which were de-pressurized for the refueling. Worse, the B-model lowered flaps when refueling to provide increased clearance between the boom and the canopy. So he couldn't get external fuel (had two big external tanks) and if he slowed down the flaps extended. He had plenty of internal gas originally, but apparently failed to monitor the actual amount of internal fuel and suddenly the 'low fuel' light came on! His 'total' fuel was way up, but all the gas in the external tanks was unusable due to no pressurization. He had to manually select the tanks of interest, otherwise what you saw on the gauge was 'total' fuel. The pilot tries for Hill AFB and slows to best range speed, slow enough for the trailing flaps to come down and increasing drag/fuel consumption. The F-16 flames out on downwind and the pilot tries for a deadstick landing, unfortunately he couldn't make it and punches out really low. The now pilot-less plane actually made it to the runway overrun and pancakes but was a total lost.",0
Oct-97,F-16B Block 1," 	
	
Suffered a mid-air collision with AT-38B 62-3746 which were both photo chasing B-1B 84-0049 for a weapons separation test. The AT-38B crashed with both on board being killed. The F-16 landed safely with damage to the left wingtip.",0
Jul-80,F-16B Block 1,"Impacted the ground on the Eagle range, Utah. The crew, Capt. Don Stuart and Capt. Larry Danner, ejected safely and were uninjured. During the second low angle bomb pass on the Eagle Range target, the engine stagnated when the throttle was advanced from idle following bomb release. Airspeed was traded for altitude, but both the primary and backup control airstart attempts were unsuccessful and they bailed out at about 1500 feet. The subsequent investigation revealed an alignment pin was missing from a critical valve in the engine compressor variable geometry system which precluded restart.",0
May-95,F-16B Block 1," 	
	
Crashed at about 14:00 hours in an open range area about 25 miles east of Lordsburg, New Mexico, on a training mission from its base at Tucson IAP. Both the instructor pilot, Lieutenant Colonel Carl J. Thomae and his student pilot, First Lieutenant Abdulla Al-Khalifa from Bahrain, ejected safely.",0
Unknown,F-16B Block 1," 	
	
Suffered a nose landing gear collaps during landing at Luke AFB. A Depot Field Team from Hill AFB replaced the forward equipment bay and the forward portion of the intake. It was repaired in late 1984.",0
1-Jul,F-16B Block 5,"  	
	
The pilot, Major Aaron George and Lockheed photographer Judson Brohmer were killed. Incident occurred at 7:00 hours about 30 miles east of China Lake. The F-16 was flying a photo/safety chase position on a 2nd F-16 on a test mission to demonstrate reliability improvements on a MALD (Miniature Air Launch Decoy). Following the launch of the MALD, the MALD's engine failed. The MALD descended at a 20 degree angle until 8,996 feet where a drogue shoot deployed followed by a recovery parachute at 7,000 feet. It drifted into mountainous terrain. The mishap aircraft was collecting video coverage of the MALD's launch, recovery, and landing. In order to maintain optimum position for video taping the MALD, the pilot had to execute barrel roll maneuvers to avoid passing the MALD. As the MALD's drogue shoot deployed, the mishap pilot executed a 3rd barrel roll maneuver, to maintain position which placed him at a steep, inverted, high speed dive that he was unable to recover. The crash was caused by channelized attention on the MALD and loss of altitude awareness.",1
Unknown,F-16B Block 5," 	
Pilot received a warning light indicating a failure of the nose gear to lock. Upon landing the pilot kept the nose up as long as possible, but when the nose came down the nose gear did collapse. Damage was not extensive and was repaired and flew again at Luke AFB.",0
Mar-81,F-16B Block 5," 	
	
Went down over the Gulf of Mexico off the coast of Florida. The crash was caused by an N2 speed sensor fault due to failed pins inside the sensor. The aircraft was recovered but damage was extensive to the cockpit area. The aircraft remains were brought back to MacDill AFB and stored in a hanger with the front being replaced by the front of #84-1228. Everything was removed forward of the intake and it was used as a maintainance trainer for a while.",0
Oct-80,F-16B Block 5," 	
	
Destroyed when it hit the ground at Avon Park range, Florida.",0
Mar-82,F-16B Block 5," 	
	
Crashed near Eglin AFB, Florida due to an engine failure.",0
Jul-83,F-16B Block 5," 	
	
Ran out of gas and ended up in the water of the Gulf of Mexico, near McDill AFB, Florida.",0
Nov-82,F-16A Block 10,"Crashed in Avon Park range, Florida during a night training mission killing Captain Francisco Pineiro, Jr. He was a flight instructor.",1
May-82,F-16A Block 10," 	
	
Hit the ground at Great Salt Lake, Utah killing Major Richard Olson. The F-16 suffered a controlled flight into terrain (CFIT) while in autopilot.",1
Jun-81,F-16A Block 10," 	
	
Went down in Great Salt Lake, Utah at 18:14 hours. An EPU problem was the cause of the mishap. The pilot, Captain Thomas F. Hauret, ejected safely.",0
Apr-84,F-16A Block 10," 	
	
Crashed near McEntire ANGB, South Carolina killing the pilot, Lieutenant Colonel Yeadon D. Dorn",1
Apr-81,F-16A Block 10," 	
At 1:09 local time the main generator warning light came on and the EPU started. The pilot Major John Cary who was part of a four ship flight advised of his emergency and tried to make it to Buckley ANGB. After flying in for five minutes on the EPU, that failed and flight controls were lost. Major Cary ejected at 1000 feet with a 90 degree nose down near Elizabeth, Colorado. Injuries were sore neck, chipped tooth and swollen eye which resulted in temporary blindness. This was caused by the high negative G's the aircraft pulled (-6G during a pitch down). The reason for the failure was due to an EPU overspeed which caused an over voltage to the flight control computer causing it to shut down.",0
Jan-82,F-16A Block 10," 	
Crashed into an unpopulated area Southwest of Luke AFB, Arizona. Cause of crash was flight control failure, pilot ejected safely.",0
Feb-85,F-16A Block 10,"Hit the ground on the Townsend Bombing Range, Georgia",0
Sep-88,F-16A Block 10," 	
Crashed off the coast of Sarasota, Florida into the Gulf of Mexico. The aircraft was recovered by the Navy and was stored in Hanger 5 for a few years being pretty much intact. The corrosion (caused by the salt water) was terrible. May have been marked 72nd TFTS at the time.",0
Dec-82,F-16A Block 10," 	
	
The crash occured somewhere over the Nevada desert.",0
Nov-83,F-16A Block 10,,0
Mar-86,F-16A Block 10A,,0
Jul-85,F-16A Block 10A,"Crashed into the Gulf of Mexico killing the pilot, 2nd Lieutenant J. O'brien. Probable cause is believed to be black-out",1
May-82,F-16A Block 10A," 	
	
Crashed on the Dugway range, Utah. During an exercises it suffered a main generator failure. After a sucessful airstart and while enroute to NAS China Lake for an emergency landing an intermittant flame was observed coming from the tailpipe. Upon hearing a loud bang and feeling a reduction of thrust, the pilot successfully ejected.",0
Unknown,F-16A Block 10A,"This USAF F-16 crashed twice, but was repaired both times - hence it got named 'Twice as Nice'. It was later sold to Israel. The first crash was in 1984 - sometimes when aircraft systems designers integrate various components into an airframe, they forget to examine what happens if a component should fail. Such was the case in the original F-16 design. An electrical connector (cannon plug) came loose and unfortunately the wiring for critical components like brakes and arrestor hook all went through the same connector. The pilot attempted to land the aircraft and engage the arrestor wires. Both wires were missed and the aircraft went off the end of the runway. The pilot stayed with the aircraft and the rescue crews had to cut through the canopy to reach hime - the hole in the canopy can be seen in the photo. After this accident they changed the electrical schematic and wiring harness so that those features went through different connectors now. The second crash occurred a few years later. Cause of mishap was a stuck throttle cable at 70% power. The incident happened at MacDill and the pilot landed the aircraft then ejected when he couldn't stop it. It then went off the end of the runway.",0
Feb-87,F-16A Block 10A," 	
	
Aircraft crashed for the second time and was rebuilt again, and was called ""Twice as Nice"" from then on. Cause of mishap was a stuck throttle cable at 70% power. Incident happened at MacDill and the pilot landed the aircraft then ejected when he couldn't stop it. It then went off the end of the runway.",0
Jun-82,F-16A Block 10A,,0
Apr-93,F-16A Block 10A," 	
Michigan ANG lost one of its aircraft in a crash at Selfridge ANGB.",0
Jun-87,F-16A Block 10A," 	
The aircraft suffered from a stuck throttle incident. The stabs jumped during touchdown just as the engine flamed out. The aircraft went about 300 feet in the air and landed to the right of the runway. The pilot ejected safely.",0
Jan-83,F-16A Block 10B," 	
	
Crashed in Great Salt Lake, Utah killing Lieutenant Colonel Bill George. The aircraft suffered a controlled flight into terrain (CFIT).",1
May-82,F-16A Block 10B,"Crashed near Beccles, England due to main fuel pump failure. The aircraft had just undergone major maintanence and was being flown for a maintanence test flight. The pilot ejected safely. The damaged canopy from this aircraft was noted on display is at the Bentwaters Cold War Museum in Suffolk, England.",0
Jan-91,F-16A Block 10B,"Shot up during Desert Storm by AAA on January 18, 1991. Damage was to the ECM pod and the the right wing. Spent a week in BDR before returning to flight a week later.",0
Apr-91,F-16A Block 10B,"Nose tire blew during takeoff causing the aircraft to depart the runway at Al Kharj AB, Saudi Arabia around 9:00 local. The right drop tank hit a runway light. The pilot, Major Androski, ejected safely after the aircraft started to leave the runway, but the aircraft burned up. Mission was intended to be a CAP mission in support of ODS",0
Jun-82,F-16A Block 10B,,0
Mar-88,F-16A Block 10B," 	
	
Flew into the waters of the Gulf of Mexico. The aircraft crashed on a night practice intercept sortie over the Gulf. The pilot was Capt. Ronald Speidel (a German Air Force exchange-pilot) who just joined the 61st TFTS at Mac Dill AFB",0
Jun-89,F-16A Block 10B,"Crashed near Fall River, Kansas. Student was on basic fighter maneuvers and exceeded limiters and F-16 lost control. The pilot ejected and survived.",0
Jan-91,F-16A Block 10B ," 	
Crashed 31 miles southwest of Al Kharj AB, Saudi Arabia. The pilot experienced smoke and fumes in the cockpit. The engine failed and also the EPU. The pilot, Lieutenant Scott Thompson, ejected safely.
	",0
May-85,F-16B Block 5," 	
	
Crashed near MacDill AFB, Florida. 2nd Lieutenant Richard Satterlee was the student pilot.",0
Nov-91,F-16B Block 5," 	
	
Crashed onto Utah Test Range at 15:00h killing both pilots, Capt. Michael Terrance Sowell and Capt. Arnold Arthur Clarke. The aircraft suffered a controlled flight into terrain (CFIT).",1
Nov-87,F-16B Block 5," 	
	
Collided near Augusta, Georgia with F-15A (75-0056) of the 128th TFS 5 miles east of Wadley, Georgia. In the backseat was Bill Elliot who is a well known NASCAR driver. The missile rail on the F-16 hooked the intake on the F-15. Major Wayne F. Conroy was able to land the F-16 at Dobbins AFB, Georgia. F-16 was repaired only to be lost in a mishap on November 14, 1991. F-15 pilot, Lt. Col. Bruce W. MacLane ejected safely.",0
Sep-84,F-16A Block 10B," 	
	
It is speculated that Major Glenn Hessel had a heart attack during the flight. What is known is that his wing man, who was flying beside him, said that he was slumped over and was not responding to radio calls. Aircraft was in augmentor when it hit the ground. Squadron mates say he was very well liked in the unit.",1
Feb-83,F-16A Block 10B," 	
	
Crashed with the pilot, 1st Lieutenant Ronald L. Gray, being killed in the event.",1
Unknown,F-16A Block 10C,"Had a gear failure upon landing, but the aircraft was repaired.",0
Nov-91,F-16A Block 10C," 	
	
The aircraft suffered an engine malfunction with restarts being unable and consequently crashing around 9:00 hours at the Dare Gunnery Range (Navy). The pilot ejected safely.",0
Feb-94,F-16A Block 10C,"Lost near Duncan, Arizona at 14:00 hours. The pilot, RNlAF trainee with the Arizona ANG, 2nd Lt. Julian Beneker, was killed in the crash. During ACMI training he most possibly suffered G-LOC.",1
Jul-82,F-16A Block 10C," 	
	
Went down near Chongju, South Korea killing Captain David Curtis Robinson.",1
Apr-93,F-16A Block 10C," 	
	
Unknown mishap, but the aircraft was a w/o.",0
Unknown,F-16A Block 10D,"Suffered a broken throttle incident, but landed safely. The incident was caused by faulty maintenance. The jet had less than 100 flying hours when during an engine change the throttle quadrant was not connected during a test run. The fuel quadrant was set to first stage of AB but without throttle control, once the engine started there was no stopping it (main fuel shutoff valve control was also disconnected). The plane shot across the ramp, ripped all main gear off crossing a ditch and was airborne for close to 200ft before it bellied in and FOD'ed out the engine. The wings were removed and the jet was trucked back to the GD factory for repairs.",0
May-93,F-16A Block 10D,"Written off when a fuel line came loose while in the pattern at Wright-Patterson, starting a fire inside the engine bay. the pilot declared an emergency and immediately attempted to land on the runway, touching down before the gear was fully extended. The tail hit the runway but the jet landed safely and remained on the runway. It was then used for Aircraft Battle Damage Repair Training (BDRT), even after the squadron exchanged the type for C-141's. Eventually it was scrapped after spending several years in the BDRT section of the base.",0
Jan-91,F-16A Block 10D,"Collided with F-16A (78-0009), near Beaumont, Kansas. One of the pilots, Major Cary Carlin, was killed.",1
May-88,F-16A Block 15,"Reportedly rolled over on landing at NAS Corpus Christi, Texas around May of 1988. Damage was relatively minor and was taken apart and repaired back hone at San Antonio, Texas.",0
Dec-82,F-16A Block 15," 	
	
Crashed 1.5 miles Northwest of Hahn AB. The pilot, First Lieutenant Rick French, ejected safely. That day the weather was unfavorable with a nasty crosswind over the base which had many other aircraft crabbing in on final. On finals to runway 04 the aircraft hit the approach lights of runway 22 stripping the gear in the process and consequently lost hydraulics. The computer took over and sent the aircraft into a maximum burner climb, looped and consequently crashed in the woods off base.",0
Sep-92,F-16A Block 15 ADF,"Destroyed in a crash near Duluth, Minnesota when a bird was injested during takeoff. The pilot ejected safely.",0
May-88,F-16A Block 15A," 	
	
Destroyed on the Leach Lake range, California when a turbine blade failed resulting in an engine fire. Pilot ejected safely.",0
Oct-85,F-16A Block 15A,"Crashed into the Mediterranean Sea, 22 miles from Adana, Turkey. The pilot, Captain Glen E. Dupuis, was killed in the mishap. The aircraft was on a DACT with F-15's from BT. The pilot experienced spatial orientation issues and hit the water at Mach 1+.",1
Jan-84,F-16A Block 15A," 	
Was lost in a training accident in mountainous terrain in the Philippines. The pilot - Capt. Michael J. Keane - was uninjured and rescued the next day.",0
Jul-87,F-16A Block 15B," 	
	
Collided with F-16A (82-0912) over Indian Springs, Nevada. Captain Alexander Rupp was sadly killed in the mishap.",1
Sep-86,F-16A Block 15B,,0
Jan-83,F-16A Block 15B,Crashed almost vertically into the ground near Nellis AFB at 11:33 hours. Only small parts of wreckage remained. Captain Peter L. Jones was killed when he did not eject. The aircraft was on a sortie which involved air-to-air combat with one other F-16. They were just finishing their last manoeuvres when the crash occurred.,1
Jul-96,F-16A Block 15B ADF," 	
	
The aircraft crashed on the runway. It suffered fuselage damage from skidding 3,000 feet down the runway. Repaired for display at Great Falls, then transferred to Fargo/Hector IAP in August 1998 for display marked '82-1012'",0
Jul-85,F-16A Block 15B," 	
Caught fire at Hahn AFB, Germany and was destroyed on the runway. Pilot Mike Jaensch, ejected from the air plane safely.",0
May-92,F-16A Block 15B ADF,"Lost at Great Falls, Montana. Aircraft had experienced engine trouble during the flight. While landing and roll out, the engine accelerated out of control. The pilot ejected safely and the aircraft was a write off.",0
Jan-83,F-16A Block 15B," 	
	
Crashed three miles West of Sinsheim, Germany. The pilot ejected safely. The mishap was due to a 2-3 fan air seal knife-edge failure in the engine. The failure was uncontained and inflight fire resulted.",0
Jul-83,F-16B Block 10C,"After an engine change, the reworked engine was ground tested. The aircraft jumped the chocks while in segment 2 afterburner. Maintainers failed to hook up the throtle linkage to the fuel control. Aircraft traveled across the ramp and onto soft ground where the gear was ripped off. The F-16's belly cut a 25 yard hole in the ground before coming to rest in a ditch. No injuries in this mishap.",0
May-83,F-16A Block 15C," 	
	
Aircraft was number two in a two-ship low-level training exercise. Towards the end of the exercise the number two aircraft was setting up to be the interceptor for a second time when the aircraft struck a fire house in Hornberg, Germany. The aircraft wreckage continued across the street and into the basement of a two story dwelling. Unfortunately First Lieutenant Steven L. Wallis was killed. Fortunately there were no casualties on the ground.",1
Sep-89,F-16A Block 15C," 	
	
Impacted the ground in Arizona near the boarder of New Mexico. The aircraft was on temporary alert detachment at Davis Monthan AFB, Arizona. Pilot ejected safely.",0
Jan-97,F-16A Block 15C ADF," 	
The aircraft went down near Greenwood Lake, Minnesota while practising night intercepts. The aircraft went down in a remote dense woodland area near Greenwood Lake. The pilot, Maj. Pete Woodbury, did not eject.",1
Nov-82,F-16A Block 15D," 	
	
Went down near Taejon, South Korea. The pilot, Capt. Theodore Harduvell, was killed during a low level training mission.",1
Aug-92,F-16A Block 15D ADF," 	
This aircraft crashed in rural Georgia while deployed to Tyndall AFB for a live missile firing exercise known as 'Combat Archer'. The pilot was orbiting at high altitude waiting for a pair of navy F-18s to conduct DACT training maneuvers when the engine catastrophically failed. The pilot ejected safely ",0
Mar-92,F-16A Block 15D ADF," 	
	
Collided in mid-air with F-16A (81-0706) near Bad Axe, Michigan killing one of the pilots, Lieutenant Colonel Roy Allen Keyt. Collision was due to lack of situational awareness during combat air maneuvering.",1
Jun-88,F-16A Block 15D," 	
Lt. Commander Sam Carter was landing at Jacksonville IAP, Florida when two pigs ran across the runway in front of him. The pigs severed the left main landing gear and the pilot ejected, causing $487,000 in damage. 900 parts were replaced including all landing gear, speed brakes, horizontal stabilizers, the nose, canopy and most of the cockpit instrumentation. The jet flew again for the first time on 14 May 1989 with Lt. Commander Carter again at the controls. Shortly after the aircraft was fixed it was sent for ADF conversion.",0
Jan-91,F-16A Block 15E ADF," 	
	
Crashed near Fairhaven, Michigan after suffering an engine stall. The pilot ejected safely.",0
Unknown,F-16A Block 15E ADF,"The aircraft broke its 357 bulkhead at CFB Cold Lake on a training mission. It was deemed a write-off by depot, mainly by the age of the airframe and the fact that the ADF's were soon to be withdrawn from use anyway.",0
Dec-82,F-16A Block 15E ,"The aircraft collided with a USMC F-4 Phantom II during DACT. The right wing of the Phantom cut through the belly of the F-16 at a 35 degree angle. The resulting damage to the engine gearbox meant the aircraft could not recover. Both aircraft were passing head-to-head at Mach 1 meaning a closure rate of Mach 2. The pilot, Captain Daryl ""Smilin' Jack"" Hower, was forced to eject from the F-16 at an altitude of around 23,000 feet but was relatively unhurt. The Viper slowly drifted down and impacted the ground on a muddy tidal plain. The USMC found it to be a unique opportunity to practice combat repair techniques by patching up the Phantom.",0
Jan-84,F-16A Block 15E," 	
	
Destroyed in a crash on Utah Test & Training Range killing the pilot, Lieutenant Colonel W. Roy Neisz. The aircraft suffered a controlled flight into terrain (CFIT).",1
May-84,F-16A Block 15F," 	
	
Crashed on Utah Test & Training Range. A little over a month earlier the same squadron, lost another F-16 on the same location. The crash was caused by an engine fire. The pilot ejected safely",0
Apr-86,F-16A Block 15F," 	
Crashed onto the Utah Test & Training Range due to an engine stall. The pilot ejected safely.",0
Aug-85,F-16A Block 15F," 	
	
Crashed onto the Utah Test & Training Range killing pilot, First Lieutenant S. Brad Peale. The aircraft suffered a controlled flight into terrain (CFIT).",1
Apr-91,F-16A Block 15F ADF,"Crashed into Atlantic Ocean 50 miles south east of Atlantic City, New Jersey. The pilot, Major Robert Dean Ashenfelter, is missing and presumed dead. The flight was a training mission with three other F-16s.",1
Mar-88,F-16A Block 15G," 	
	
Ran out of fuel in afterburner while trying to burn off excess fuel for landing after a training mission. Apparently the external fuel tanks won't feed with the afterburner running and the speed brakes deployed. The pilot, Ltc Levis Deweese, was forced to eject from the aircraft as he lacked sufficient altitude to attempt a relight and consequently the aircraft crashed near Jacksonville, Florida.",0
Nov-93,F-16A Block 15G ADF," 	
	
Lost near Tulelake, California. The pilot, 1st Lieutenant Stephen Taylor, a student pilot from the Vermont ANG, died in the crash. The aircraft was engaged in BFM with an instructor at the time of the crash. Spatial disorientation was most likely the cause.",1
Sep-93,F-16A Block 15G ADF," 	
	
The aircraft was completely destroyed in a crash. It impacted the ground near Union, Missouri due to bearing failure. The pilot ejected safely.",0
Mar-83,F-16A Block 15G,"Belly landed at Torrejon AB, Spain when the pilot forgot to lower landing gear. Aircraft, which was on a delivery flight, landed on three external tanks. Damage was considered minimal but was damaged when the recovery crane dropped it from roughly 4 feet during recovery. Because of that the aircraft had to have a spar replaced so a CLSS team flew in from Hill AFB, Utah and fixed the aircraft within a week.",0
May-90,F-16A Block 15H,"Crashed in a south Georgia community, named Pearson. The crash killed the pilot, Lieutenant Colonel A. Stuart, and a civilian.",1
Feb-85,F-16A Block 15H,"Flew into the ground near Aviano AB, Italy. Pilot ejected safely. The cause was determined that both AOA heaters failed and ice formed on the probes, driving the probes full down. This caused the LE flaps to full down and the aircraft flipped on its back. The aircraft impacted a snow covered slop, inverted, and slid to a stop. The jet was enroute from Torrejon AB, Spain when the accident occured. During ejection, the pilot received a gash to his jaw from his parachute harness.",0
Jun-91,F-16B Block 15D," 	
	
Cause of the crash was a fuel shut-off valve, which is a safety device in case of a fire. The aircraft was flying from Holloman AFB, New Mexico to Ellington Field, Texas. The pilot felt a vibration followed by a bang which stopped the engine at an altitude of only 3,000 feet. The pilot re-light the engine and the same thing happened again. At this point the pilot, Captain Kenneth J. Gurry, ejected, because the aircraft was descending through 800 feet of altitude. The ejection occurred near League City, Texas. The ejection seat was repaired and used for training, then placed in the Texas Military Forces Museum.",0
1-Dec,F-16B Block 15F ADF," 	
	
This aircraft was involved in a mishap where the aircraft had an engine fire. Details to be confirmed, but photos after the accident show the aircraft appears fine on the exterior. Due to the age of the airframe, it was declared a write-off.",0
Sep-03,F-16B Block 15H," 	
	
The aircraft was damaged but repairable after hitting three power lines and destructing 10 power poles during a straight-in simulated flame-out approach (SFO) at Libby Army Airfield, Arizona. Both the instructor pilot and the student were unhurt, but the aircraft suffered some damage to the engine inlet, port strake, ram air diverter, nose gear, leading edge flap, flaperon, port horizontal stabilator and port speed brake. Cause of the incident was reported as lack of sufficient situational awareness by the instructor pilot.",0
Feb-88,F-16A Block 15J,,0
